date,population shift,confirm_adds,confirm
2022/07/06,0,43,63338
2022/07/07,0,21,63359
2022/07/08,0,19,63378
2022/07/09,0,9,63387
2022/07/10,0,17,63404
2022/07/11,0,13,63417
2022/07/12,0,14,63431
2022/07/13,0,11,63442
2022/07/14,0,11,63453
2022/07/15,0,11,63464
2022/07/16,0,8,63472
2022/07/17,0,6,63478
2022/07/18,0,8,63486
2022/07/19,0,7,63493
2022/07/20,0,5,63498
2022/07/21,0,12,63510
2022/07/22,0,6,63516
2022/07/23,0,10,63526
2022/07/24,0,10,63536
2022/07/25,0,6,63542
2022/07/26,0,9,63551
2022/07/27,0,12,63563
2022/07/28,0,5,63568
2022/07/29,0,13,63581
2022/07/30,0,12,63593
2022/07/31,0,6,63599
2022/08/01,0,8,63607
2022/08/02,0,6,63613
2022/08/03,0,8,63621
2022/08/04,0,5,63626
2022/08/05,0,8,63634
2022/08/06,0,3,63637
2022/08/07,0,7,63644
2022/08/08,0,2,63646
2022/08/09,0,20,63666
2022/08/10,0,14,63680
2022/08/11,0,10,63690
2022/08/12,0,9,63699
2022/08/13,0,8,63707
2022/08/14,0,12,63719
2022/08/15,0,10,63729
2022/08/16,0,7,63736
2022/08/17,0,7,63743
2022/08/18,0,7,63750
2022/08/19,0,9,63759
2022/08/20,0,8,63767
2022/08/21,0,7,63774
2022/08/22,0,13,63787
2022/08/23,0,6,63793
2022/08/24,0,3,63796
2022/08/25,0,4,63800
2022/08/26,0,6,63806
2022/08/27,0,8,63814
2022/08/28,0,8,63822
2022/08/29,0,2,63824
2022/08/30,0,5,63829
2022/08/31,0,7,63836
2022/09/01,0,8,63844
2022/09/02,0,13,63857
2022/09/03,0,10,63867
2022/09/04,0,5,63872
2022/09/05,0,3,63875
2022/09/06,0,12,63887
2022/09/07,0,10,63897
2022/09/08,0,6,63903
2022/09/09,0,7,63910
2022/09/10,0,15,63925
2022/09/11,0,9,63934
2022/09/12,0,14,63948
2022/09/13,0,9,63957
2022/09/14,0,8,63965
2022/09/15,0,12,63977
2022/09/16,0,9,63986
2022/09/17,0,16,64002
2022/09/18,0,11,64013
2022/09/19,0,5,64018
2022/09/20,0,8,64026
2022/09/21,0,9,64035
2022/09/22,0,15,64050
2022/09/23,0,15,64065
2022/09/24,0,9,64074
2022/09/25,0,19,64093
2022/09/26,0,18,64111
2022/09/27,0,14,64125
2022/09/28,0,13,64138
2022/09/29,0,14,64152
2022/09/30,0,21,64173
2022/10/01,0,5,64178
2022/10/02,0,4,64182
2022/10/03,0,0,64182
2022/10/04,0,2,64184
2022/10/05,0,3,64187
2022/10/06,0,2,64189
2022/10/07,0,3,64192
2022/10/08,0,3,64195
2022/10/09,0,3,64198
2022/10/10,0,6,64204
2022/10/11,0,5,64209
2022/10/12,0,5,64214
2022/10/13,0,9,64223
2022/10/14,0,4,64227
2022/10/15,0,1,64228
2022/10/16,0,7,64235
2022/10/17,0,2,64237
2022/10/18,0,1,64238
2022/10/19,0,2,64240
2022/10/20,0,2,64242
2022/10/21,0,3,64245
2022/10/22,0,5,64250
2022/10/23,0,3,64253
2022/10/24,0,2,64255
2022/10/25,0,7,64262
2022/10/26,0,6,64268
2022/10/27,0,4,64272
2022/10/28,0,6,64278
2022/10/29,0,1,64279
2022/10/30,0,4,64283
2022/10/31,0,5,64288
2022/11/01,0,9,64297
2022/11/02,0,3,64300
2022/11/03,0,3,64303
2022/11/04,0,6,64309
2022/11/05,0,3,64312
2022/11/06,0,2,64314
2022/11/07,0,3,64317
